state,level,effect_year,end_year,citation_year,policy_type,policy_type_simple,citation,authority,category_nutrition_labeling,category_institutional_procurement,category_nutrition_standards,category_product_reformulation,category_educational_campaign,category_other,category_other_who,age_children,age_elderly,data_source,description,details_voluntary,details_mandatory,details_taskforce,details_studies,details_pricing,details_farmerincentives,details_suggarfat,age_toddler,age_other,veteran,org_school,org_farmers,org_groceries,org_army,org_hospital,org_restaurant,org_vendingmachine,org_public,org_other
AR,city,,,,Executive Order,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending Executive Order: adopted 5/2/16 Vending machines in city-owned buildings must display calorie information for all products. All snack foods must contain 0 grams of trans fat and ≤ 230 mg of sodium. 25% of snack products must be ≤ 200 calories, < 10% of calories from saturated fat, ≤ 35% of its weight from sugars. 50% of beverages must have ≤ 40 calories, be 100% fruit- juice with no added sweeteners, 100% vegetable-juice with < 230 mg of sodium, or be low-fat or fat-free milk.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
CA,state,2008,,,Statute,Law,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Vending In September 2008, the Governor of California approved Senate Bill 441, which amended the Government Code to include nutrition standards for food and beverages sold in vending machines in state buildings. The original legislation was set to expire on January 1, 2015. Senate Bill 912, which was approved in September 2014, extended the nutrition requirements indefinitely. These bills require that at least 35 percent of food offered in vending machines on any state property contain < 35 percent of calories from total fat (except nuts, seeds, and whole grain products), < 10 percent of calories from saturated fat, and < 35 percent of total weight from sugar (except fruits and vegetables). At least one-third of beverages must be water, milk or milk substitutes, 100 percent fruit juice, fruit drinks with > 50 percent fruit juice with no added sweeteners, or electrolyte replacement beverages with < 42 grams added sweetener per 20-ounce serving. An additional one-third of beverages must meet the nutrition criteria listed above or be flavored milk, contain less than 20 calories per 12-ounce serving, or contain > 50 percent fruit juice with non-caloric sweeteners. There are no nutrition restrictions for the remaining one-third of beverages offered. Senate Bill No. 441: http://leginfo.legislature.ca.govaces/billNavClient.xhtml?bill_id=200720080SB441&se arch_keywords= 4     Senate Bill No. 912 http://leginfo.legislature.ca.govaces/billTextClient.xhtml?bill_id=201320140SB912",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
CA,state,,,,Policy,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Voluntary beverage and nutrition procurement and service The nutrition guidelines were developed collaboratively by nutrition experts from nine California state departments. Beverages goals include that at least 50% of beverages should contain ≤ 40 calories per serving (other than 100% juice and unsweetened milk), beverages > 40 calories be limited to 8 oz. per serving and free drinking water is available throughout the day. They aim to serve only 1% or non-fat milk, yogurt or cottage cheese, and yogurt that contains no added caloric sweeteners. The sodium goal for processed cheeses is ≤ 230mg sodium per serving. They aim to eliminate or limit fried food options and limit sodium in mixed dishes to < 800mg per serving, vegetables contain ≤ 230 mg sodium per serving and entrees consisting of 50% or more vegetables have ≤ 480 mg sodium per serving. They try to serve at least three whole or sliced servings of fruit daily, at least one raw or steamed/baked vegetable daily. For grains, they aim to make them whole grain; limit sodium in cereal and pasta offerings to < 230 mg of sodium and ≤ 140 mg of sodium per ounce of bread. 50% of cereals should ≥ 3g of fiber and < 10g of total sugars per serving.",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
CA,county,2009,,,Policy,Administrative Rule,https://www.acgov.org/sustain/documents/Nutr_Policy_Fact_Sheet.pdf,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending, Meetings and Events, Catering, and Cafeterias The Alameda County Board of Supervisors adopted a policy in 2009 requiring that 50% of food and beverage items available at county-funded meetings and events are healthier options. This includes items available in vending machines on county owned or leased property. Healthy options must be placed in easily visible locations. https://www.acgov.org/sustai n/documents/Nutr_Policy_Fact_Sheet.pdf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
CA,county,2004,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,Nutrition Standards: Vending Contra Costa County enacted a policy in 2004 that requires that 50% of food and beverages sold in vending machines in county owned or operated facilities (excluding Contra Costa Health Services) meet specific nutrition standards. Vending policy in Contra Costa Health Services facilities requires that 100% of snack foods and beverages meet specific nutrition standards.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,county,2006,,,Policy,Administrative Rule,,,1,0,1,0,0,0,0,1,0,CSPI,"Nutrition Standards: Vending, Concessions, Cafeterias, Institutions Ordinance number: 3.115, Enacted 8/8/2006, Sunsets 10/21/2018 5 Los Angeles County requires that 100% of all snacks and beverages sold in vending machines on government property meet the State of California’s Nutrition Guidelines (developed for schools). Vended food items shall be (per package or food item) ≤ 250 calories, ≤ 35% calories from fat (excluding legumes, nuts, nut butters, seeds, eggs, non- fried vegetables, and cheese packaged for individual sale), ≤ 10% calories from saturated fat (excluding eggs and cheese packaged for individual sale), ≤ 20% of calories from total sugars (excluding fruits and vegetables), ≤ 200 mg sodium, and no added trans fat. Half of all grains must be whole grains, and grain or potato-based products must contain ≥ 2 grams of dietary fiber. Beverages should be water; carbonated water; 50% fruit or vegetable juice with no added sugars and ≤ 230mg of sodium per serving; milk products (reduced-fat, low-fat, nonfat, or non-dairy milk with no added sugars); or sugar-sweetened or artificially- sweetened beverages that are ≤ 25 calories per 8 ounces. In 2016, the LA County Department of Public Health completed an evaluation of the county’s largest vending machine contract. They found average sodium per packaged snack in vending machines decreased by 30% within the first 8 months after implementation (from 294 mg before implementation to 205 mg after). The number of healthy snack options sold in machines also increased. Vending Policy: http://countypolicy.co.la.ca.us/BOSPolicyFrame.htm Evaluation: https://www.cdc.gov/salt/pdfs/success-story-lacounty.pdf Concessions, Cafeterias, and Institutions: LA County Board of Supervisors Motion 11-1093 In March 2011, LA County Department of Public Health was given authority by the County Board of Supervisors to address all county food service and vending contracts. All new food service requests for proposals (RFPs) must include nutrition standards and practices that promote healthy foods. The food service requirements for concessions require that at least 50% of entrées contain <500 calories, < 35% of calories from fat, < 10% of calories from saturated fat, < 600 mg of sodium, and no trans fat. It is recommended that there is at least one vegetarian entrée per meal service. Additionally, side items must meet the same criteria listed above, but must contain < 250 calories and < 360 mg sodium. Snacks and desserts must the criteria for vending, and when desserts are served, they should contain little or no added sugars. In addition, two healthy salad dressing options, at least three fresh fruits, and two non- starchy vegetable items should be available at each service. At least half of entrees made with grains must be whole grain. It is recommended that proteins be extra lean or lean, and that dairy should be low- or non-fat, low-sodium (when applicable), and contain no or few added sweeteners. Half of the beverages served at concessions must meet the vending criteria listed above. The food service requirements also include offering a reduced-size portion and limiting the serving of fountain drinks ( < 16 ounces per container), not offering any deep-fried items, labeling nutrition information for menu items, and pricing and placing healthier 6     items competitively. The requirements also include the implementation of a gradual sodium-reduction plan. Conducted six months after implementation, a Nutrition Environment Measures Survey (NEMS) evaluation of the procurement initiative found that there were three additional entrees labeled as healthy available; there was relative compliance with portion sizes of sugary drinks (although labeling of larger cups specifically for the use of diet drinks was not clear); the percent of healthy snacks and beverages increased in vending machines; and pricing, placement, and promotion strategies were adopted. The initiative reaches many people through institutions where the county is responsible for serving food, like jails and juvenile hall or probation camps. Motion: http:/ile.lacounty.gov/SDSInter/bos/supdocs/59493.pdf Evaluation: http://www.centertrt.org/content/docs/Intervention_Documents/Intervention_Templa tes/LA_County_Template.pdf",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
CA,county,2004,,,other,Other,,,0,0,1,0,0,0,1,0,0,CSPI,Nutrition Standards: Vending Fifty percent of the food and beverages sold through vending machines in Marin County’s Department of Health and Human Services building must meet nutrition standards. The vendor must use pricing and promotion techniques to support the healthier options. http://www.banpac.org/pdfs/healthy_vending/marin_county.pdf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CA,county,2009,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending Monterey County enacted a policy in 2009 that requires that 100% of beverages and snacksood sold in vending machines in County owned, leased, and/or operated facilities meet specific nutrition standards. http://000sweb.co.monterey.ca.us/admin/Healthy%20Vending%20Machine%20Policy.p df",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,county,2013,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,1,0,CSPI,"Nutrition Standards: Vending, Congregate and Custodial Meals (excluding detention facilities), Cafeterias and Cafes, Group Homes and Home-Delivered Meals, Meetings and Events Vending: In December 2013, the San Diego County Board of Supervisors passed a policy requiring that 100% of foods and beverages sold in vending machines at county facilities that primarily serve youth and 50% of foods and beverages sold in vending machines at all other county facilities meet nutrition standards. The nutrition standards include limits on calories, total fat and saturated fat, sugar, and sodium, and encourage the availability of water and snack options with dietary fiber. County of San Diego Board of Supervisors K-14; sunsets December 31, 2020 http://www.sandiegocounty.gov/cob/docs/policy/K-14.pdf 7     Congregate and Custodial Meals (excluding detention facilities), Cafeterias and Cafes, Group Homes and Home-Delivered Meals, Meetings and Events: On June 21, 2016, the San Diego Board of Supervisors, led by Greg Cox and Ron Roberts, launched the Live Well San Diego Food System Initiative, directing the county to develop the Eat Well Practices, which were approved (5-0) on December 13, 2016. The Eat Well Practices offer guidance and best practices for food and beverages offered at county facilities and contracted sites, including congregate and custodial meals, cafeterias and cafes, group homes or home-delivered meals, and meetings and events. The guidelines recommend offering minimally processed fruits and vegetables, whole grains, and diverse sources of protein, while limiting saturated fats, trans fats, salt, and added sweeteners. Additionally, the Eat Well Practices also include suggestions for providing nutrition information, sustainability, price, promotion, and placement. Eat Well Practices: http://bosagenda.sdcounty.ca.gov/agendadocs/doc?id=0901127e804f6533",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
CA,local,2016,,,Executive Order,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Beverage and nutrition standards: Vending (Except within the Department of Emergency Management), Events, Meetings, Foods Purchased with City Funds, and Cafeterias on Public Property Ordinance 91-16; adopted and signed by Mayor May 17, 2016 In 2010, an executive directive set nutrition standards for food and beverages sold through vending machines on city and county property. The directive was replaced by a more comprehensive ordinance adopted in 2016. Vending machines should include calorie labeling per FDA regulations by 12/1/16. Prepackaged foods sold through vending machines, served at city meetings, events, and through restaurants on city property should contain ≤ 200 calories per serving, ≤ 35% calories from total fat, ≤ 1 g of saturated fat per serving, no trans fat and no partially hydrogenated oil, ≤ 35% of weight from total sugars, ≤ 240 milligrams of sodium per serving, and no candy except for sugar-free mints and gum. Exempt from the nutrition standards are fruits and vegetables with no added salt, sugar, or fat; nuts, seeds, and nut butters with a serving size of no more than 1.5 ounces; plant-based spreads including hummus, guacamole, and pesto; and low-fat, reduced-fat, or fat-free cheeses. Beverages must be 100% juice with no added sweeteners, ≤ 230 mg sodium per serving, and ≤120 calories per eight fluid ounces; low-fat or fat-free milk; or diet drinks, and must not be sugar-sweetened beverage with more than 25 calories per eight ounces. Diet or artificially sweetened beverages can be no more than 25% of beverages sold or offered. In addition, city-sponsored events should have water available; serve smaller portions, offer vegetarian options; include healthy foods like fruits, vegetables, whole grains, low- fat dairy, and lean meats; and prepare foods by healthy cooking techniques. At least 25 percent of meals served at restaurants on public property also should contain ≤ 700 calories, ≤ 35% of calories from fat, ≤ 5 grams saturated fat, ≤ 0.5 grams of trans fat and no partially hydrogenated oil, ≤105 milligrams of cholesterol, ≤ 35% of calories from 8     sugars, ≤ 800 milligrams of sodium, and there should be at least two servings (1–1.5 cups) of vegetables and/or fruits per meal. The nutrition standards will be updated based on periodic review and recommendation from the Department of Public Health, in consultation with the health service system, to the Board of Supervisors. Executive Directive: http://www.sfgov3.org/Modules/ShowDocument.aspx?documentid=68 Ordinance: http://voicesforhealthykids.org/wp-content/uploads/2016/06/SF- procurement-ordinance.pdf",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0
CA,local,2015,,,Statute,Law,https://sfgov.legistar.com/LegislationDetail.aspx?ID=2240423&GUID=5220A723-8443-,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Advertising The San Francisco ordinance restricts the advertising of sugar-sweetened beverages on all city and county property. The pre-existing ordinance, which applied to tobacco and alcohol, was amended to include sugar-sweetened beverages. The ordinance was introduced on March 10, 2015; passed unanimously by the Board of Supervisors on June 16, 2015; and signed by the Mayor on June 25, 2015. It became effective immediately. The law has been challenged in court by the American Beverages Association on the grounds of free-speech. https://sfgov.legistar.com/LegislationDetail.aspx?ID=2240423&GUID=5220A723-8443- 476C-A36D-A986D9A4AAF3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CA,county,2011,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Vending, Meetings, Events, Fundraisers, and Food Service San Mateo County’s Wellness Policy, enacted in 2011, aims to increase access to healthy food and beverage options and establishes nutrition standards for on-site food service, vending machines, commissaries, meetings, trainings, conferences, waiting areas, and lobbies. http://hr.smcgov.org/documents/county-wellness-policy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CA,county,,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Events Requires that at least 50% of beverages purchased with county funds and served at Public Health Department events include water, 100% juice, and/or diet soda (only if regular soda is offered). Policy is available upon request",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CA,county,2012,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Meetings, Events, Vending, and Custodial Populations The Santa Clara County Public Health Department food and beverage policy went into effect July 1, 2012. The standards are required for county meetings, events, vending machines, and custodial populations, including: Department of Correction, Department 9     of Probation, Social Services Agency, and Santa Clara Valley Medical Center. The standards are recommended for cafeterias, cafes, and county-leased properties. Nutrition Standards: Vending, Cafeterias and Cafés, Catering, Gift shops) Ordinance 85472 In April 2017, the Santa Clara Board of Supervisors voted unanimously to approve an ordinance prohibiting the sale of all sugar-sweetened beverages within the Santa Clara Valley Health and Hospital System, and the ordinance was adopted in May. The policy includes cafeterias, cafés, catering, gift shops, or other onsite food distributors such as food trucks at all County-run health facilities. The policy will be implemented within six months of the adoption date (by October 2017). The ordinance also included a restriction on the sale of sugar-sweetened beverages in kid’s meals and health warnings on advertisements for sugar-sweetened beverages. Ordinance: http://sccgov.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=85472 Report: http://sccgov.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=85391",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
CA,county,,,,other,Other,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending Fifty percent of food and beverages sold through vending machines on county property must meet nutrition standards. Healthier items must be priced less than or equivalent to items that do not meet the standards. Healthier items also must be placed in the top third of the vending machine to increase viability. In addition, marketing of unhealthy food items on or around the vending machine is prohibited.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,city,,,,other,Other,,,0,0,0,0,0,1,1,1,0,CSPI,"Nutrition Standards: Vending, Concessions The City of Baldwin Park mandates that 100% of foods and beverages provided and/or sold in city facilities, vending machines, and institutions, including but not limited to afterschool programs, recreation centers, pools, libraries, parks, community centers, and childcare centers, meet nutrition standards. Vending machine fronts advertise a “Healthy Baldwin Park.”",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
CA,city,2011,,,other,Other,,,0,0,0,0,0,1,1,0,0,CSPI,Nutrition Standards: Vending The City of Bell Gardens requires that 100% of foods and beverages sold in vending machines located on city property meet nutrition standards. http://www.californiaprojectlean.org/docuserfiles//BG%20Final%20Vending%20Stds.pdf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,city,,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,Nutrition Standards: Vending and Concessions The City of Brentwood mandates that all vending and concession foods and beverages made available on city premises meet the nutrition standards in their wellness policy. 10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CA,city,2012,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending The City of Carson enacted a policy that went into effect on July 1, 2012 requiring all vending machines in city facilities to contain 100% healthy snack, entrée, and beverage offerings. http://ci.carson.ca.us/MeetingAgendas/AgendaPacket/MG53054/AS53066/AS53070/AI 53099/DO53125/DO_53125.PDF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,city,2006,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,Nutrition Standards: Vending Chula Vista City enacted a policy in 2006 that requires all vending machines in any city facility contain 100% healthy snack and beverage offerings. http://ourcommunityourkids.org/media/2399/CV_Vending_Policy.pdf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,city,2010,,,other,Other,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending and Concessions At least 50% of the foods and beverages offered at Parks and Recreation Facilities in vending machines and at city-operated concessions must meet nutrition standards, in support of the Healthy Eating Active Living (HEAL) Cities Campaign. http://city- council.cityofdavis.org/media/default/documents/pdf/citycouncil/councilmeetings/age ndas/20101214/packet/03-a-heal.pdf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CA,city,,,,Resolution,Law,,,0,0,0,0,0,1,1,1,0,CSPI,Nutrition Standards: Vending and Concessions The City of El Monte requires that 100% of food snacks and beverages for sale in vending machines and snack bars or offered for consumption at youth-oriented programs and facilities meet nutrition standards. The resolution language stipulates that future procurement or contractual negotiations include the nutrition guidelines.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CA,city,,,,Policy,Administrative Rule,,,0,0,0,0,1,0,0,1,0,CSPI,"Nutrition Standards: Vending and Concessions The City of Huntington Park mandates that 100% of food and beverages funded by the city and provided or sold in city facilities including youth-oriented programs, recreation centers, pools, libraries, parks, and community centers meet nutrition guidelines. http://healcitiescampaign.org/document.html?id=241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CA,city,,,,other,Other,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: City Facilities, Institutions, Vending and Meetings The City of La Puente requires that 100% of beverages and foods sold through city facilities, institutions, vending, or provided at meetings of city staff comply with nutrition standards. http://www.californiaprojectlean.org/docuserfiles/la%20puente.pdf 11",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CA,city,2011,,,Resolution,Law,,,0,0,0,0,0,1,1,0,0,CSPI,"Nutrition Standards: Vending City Meetings and Events The City of Long Beach Department of Health and Human Services enacted a Healthy Snack Food and Beverage Policy and a Healthy Beverage Vending Policy in December 2011 for city sponsored meetings and events. In April 2011, the Long Beach City Council passed a healthier food and beverage resolution. Later in the year, the City Manager approved the Department of Health and Human Services’ recommendations for nutrition requirements. http://cfpa.net/losangeles/long-beach-votes-in-favor-of-healthy-food-and-beverage- policies",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CA,city,,,,Policy,Administrative Rule,,,0,0,0,0,0,1,1,1,0,CSPI,Nutrition Standards: Vending The city of Los Angeles requires 25% of the food and beverages sold in vending machines in city facilities and in city-sponsored programs to meet nutrition standards. http://eatbettermovemore.org/sa/policies/pdftext/LAChildNutrition.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
